Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
MRGR,Merger ETF,2012-12-13,ETF,S&P Merger Arbitrage Index,"The index seeks to provide a merger arbitrage strategy that exploits commonly observed price changes associated with a global selection of publicly announced mergers, acquisitions and other corporate reorganizations.",Hedge Fund,ProShares,0.75%,$0.04,1.66%,$3.80 ,0.1, 452 , (1.58),Alternatives,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MSXX,PureFunds ISE Mining Services ETF,2012-11-29,ETF,,This ETF is not linked to a specific benchmark.,Commodity Producers Equities,FactorShares,0.69%,$0.22,1.40%,$0.80 ,0.1," 3,260 ", (3.50),Equity,,,Global,39.21%,0.00%,0.00%,0.00%,4.14%,2.46%,0.00%,53.90%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
MTK,SPDR MS Technology,2000-09-25,ETF,Morgan Stanley Technology Index,"The Morgan Stanley Technology Index is composed purely of electronics-based technology companies. The Technology Index was the first listed broad-market technology barometer dedicated exclusively to the electronics-based technology industry. The Technology Index comprises companies drawn from the following technology sub-sectors: computer services; design software; server software, PC software and new media; networking and telecom equipment; server hardware, PC hardware and peripherals; specialized systems; and semiconductors.",Technology Equities,State Street SPDR,0.50%,$0.28,1.30%,$209.90 ,2.4," 5,433 ", 1.26 ,Equity,,,North America,0.00%,0.00%,9.00%,0.00%,0.00%,0.00%,0.00%,5.27%,0.00%,85.20%,0.00%,,,click,click,,,,,,,,,,,,,
MTUM,MSCI USA Momentum Fund,2013-04-16,ETF,MSCI USA Momentum Index,"The index consists of stocks exhibiting higher momentum characteristics than the traditional market capitalization-weighted parent index, the MSCI USA Index, which includes U.S. large- and mid-capitalization stocks.",All Cap Equities,iShares,0.15%,$0.21,1.06%,$182.10 ,3.2," 8,137 ", 0.95 ,Equity,Multi-Cap,Blend,North America,2.40%,7.13%,15.65%,23.75%,1.52%,9.94%,28.07%,1.50%,1.92%,3.10%,4.82%,,,click,click,,,,,,,,,,,,,
MUAA,2012 S&P AMT-Free Municipal Series,2010-01-07,ETF,S&P AMT-Free Municipal Series 2012 Index,"The S&amp;P AMT-Free Municipal Series 2012 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2012.",National Munis,iShares,0.30%,,0.28%,$27.80 ,0.6," 13,453 ", 0.26 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUAB,iShares 2013 AMT-Free Muni Term ETF,2010-01-07,ETF,S&P AMT-Free Municipal Series 2013 Index,"The S&amp;P AMT-Free Municipal Series 2012 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2013.",National Munis,iShares,0.30%,$0.03,0.50%,$37.90 ,0.8," 8,405 ", 0.44 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUAC,iShares 2014 AMT-Free Muni Term ETF,2010-01-07,ETF,S&P AMT-Free Municipal Series 2014 Index,"The S&amp;P AMT-Free Municipal Series 2014 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2014.",National Munis,iShares,0.30%,$0.03,0.64%,$66.80 ,1.3," 8,800 ", (0.19),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUAD,iShares 2015 AMT-Free Muni Term ETF,2010-01-07,ETF,S&P AMT-Free Municipal Series 2015 Index,"The S&amp;P AMT-Free Municipal Series 2015 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2015.",National Munis,iShares,0.30%,$0.03,0.87%,$95.40 ,1.8," 10,494 ", 0.76 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUAE,iShares 2016 AMT-Free Muni Term ETF,2010-01-07,ETF,S&P AMT-Free Municipal Series 2016 Index,"The S&amp;P AMT-Free Municipal Series 2016 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2016.",National Munis,iShares,0.30%,$0.04,1.04%,$104.10 ,2," 12,391 ", 0.17 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUAF,iShares 2017 AMT-Free Muni Term ETF,2010-01-07,ETF,S&P AMT-Free Municipal Series 2017 Index,"The S&amp;P AMT-Free Municipal Series 2017 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2017.",National Munis,iShares,0.30%,$0.05,1.27%,$112.60 ,2.1," 14,134 ", (0.17),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUB,iShares National AMT-Free Muni Bond ETF,2007-09-07,ETF,S&P National AMT-Free Municipal Bond Index,The index measures the performance of the investment grade segment of the U.S. municipal bond market.,National Munis,iShares,0.25%,$0.27,2.99%,"$3,024.10 ",29.1," 258,362 ", (0.33),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUNI,Intermediate Municipal Bond Strategy Fund,2009-11-30,ETF,,This ETF is not linked to a specific benchmark.,National Munis,PIMCO,0.35%,$0.10,2.30%,$195.00 ,3.8," 35,083 ", (0.24),Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MVV,Ultra MidCap400,2006-06-19,ETF,S&P MidCap 400 Index (200%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Leveraged Equities,ProShares,0.95%,$0.04,0.03%,"$1,782.20 ",14.2," 342,331 ", 2.39 ,Equity,Mid-Cap,Blend,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
MWJ,Daily Mid Cap Bull 3X Shares,2009-01-08,ETF,Russell Midcap Index (300%),The Russell Midcap Index measures the performance of the mid-cap segment of the U.S. equity universe. The Russell Midcap Index is a subset of the Russell1000 Index. It includes approximately 800 of the smallest securities based on a combination of their market cap and current index membership.,Leveraged Equities,Direxion,0.95%,$1.37,0.48%,$34.60 ,1.2," 139,720 ", 3.74 ,Equity,Mid-Cap,Blend,North America,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
MWN,Daily Mid Cap Bear 3X Shares,2009-01-08,ETF,Russell Midcap Index (-300%),The Russell Midcap Index measures the performance of the mid-cap segment of the U.S. equity universe. The Russell Midcap Index is a subset of the Russell1000 Index. It includes approximately 800 of the smallest securities based on a combination of their market cap and current index membership.,Leveraged Equities,Direxion,0.95%,,,$18.10 ,0.7," 63,558 ", (3.56),Equity,Mid-Cap,Blend,North America,,,,,,,,,,,,3x,Yes,click,click,,,,,,,,,,,,,
MXI,iShares Global Materials ETF,2006-09-12,ETF,S&P Global Materials Index,The index measures the performance of the materials sector of global equity markets.,Materials,iShares,0.48%,$0.50,2.15%,$399.40 ,6.5," 46,350 ", 1.19 ,Equity,,,Global,93.39%,0.00%,3.68%,0.00%,0.00%,0.00%,0.00%,0.47%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
MZG,Claymore/Morningstar Manufacturing Super Sector Index ETF,2007-08-22,,,This ETF is not linked to a specific benchmark.,Industrials Equities,Guggenheim,0.40%,,,$0.00 ,0,,,Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MZN,Claymore/Morningstar Information Super Sector Index Fund,2007-08-22,,,This ETF is not linked to a specific benchmark.,Technology Equities,Guggenheim,0.40%,,,$0.00 ,0,,,Equity,Large-Cap,Growth,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MZO,Claymore/Morningstar Services Super Sector Index ETF,2007-08-22,,,This ETF is not linked to a specific benchmark.,Miscellaneous Sector Equities,Guggenheim,0.40%,,,$0.00 ,0,,,Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MZZ,UltraShort MidCap400,2006-07-11,ETF,S&P MidCap 400 Index (-200%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Leveraged Equities,ProShares,0.95%,$23.86,,$12.40 ,0.9," 21,455 ", (2.29),Equity,Mid-Cap,Blend,North America,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
NAGS,Natural Gas Fund,2011-02-01,Commodity Pool,Natural gas futures,The underlying assets of the fund consist of natural gas futures contracts.,Oil &amp; Gas,Teucrium,1.50%,,,$1.80 ,0.2," 4,224 ", 2.83 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
NASH,Nashville Area ETF,2013-08-01,ETF,LocalShares Nashville Index,"The index uses an algorithm to identify and then weight the companies to be included in the index based on factors such as positive earnings, momentum, and valuation metrics.",All Cap Equities,LocalShares,0.49%,,,$6.70 ,0.3," 1,195 ", 1.70 ,Equity,Multi-Cap,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
NASI,ESG Shares North America Sustainability Index ETF,2010-05-19,ETF,FTSE KLD North America Sustainability Index,"The index is a broadly diversified, sector-neutral index of American and Canadian companies with superior ESG performance as rated by KLD Research &amp; Analytics, Inc.",Large Cap Blend Equities,Pax World,0.50%,$0.18,1.12%,$11.50 ,0.4," 5,285 ", 1.06 ,Equity,Large-Cap,Blend,North America,3.56%,2.48%,10.40%,10.77%,8.96%,14.68%,11.26%,11.39%,3.47%,19.50%,2.39%,,,click,click,,,,,,,,,,,,,
NFO,Insider Sentiment ETF,2006-09-21,ETF,Sabrient Insider Sentiment Index,The objective of the Index is to actively represent a group of securities that are reflecting favorable corporate insider buying trends (determined via the public filings of such corporate insiders) and Wall Street analyst earnings estimate increases.,All Cap Equities,Guggenheim,0.60%,$0.60,1.29%,$111.90 ,2.4," 24,864 ", 1.25 ,Equity,Multi-Cap,Blend,North America,6.76%,1.08%,18.24%,5.07%,10.74%,14.27%,3.08%,14.65%,6.76%,14.31%,5.04%,,,click,click,,,,,,,,,,,,,
NFRA,STOXX Global Broad Infrastructure Index Fund,2013-10-08,ETF,STOXX Global Broad Infrastructure Index,The index is a global equity index consisting of companies that have infrastructure ownership.,Global Equities,FlexShares,0.47%,,,$25.20 ,0.6,, 1.06 ,Equity,Large-Cap,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
NGE,Global X Nigeria Index ETF,2013-04-02,ETF,Solactive Nigeria Index,"The index is designed to reflect broad based equity market performance in Nigeria. The index is comprised of companies that are domiciled in, principally traded in or whose revenues are primarily from Nigeria. The stocks are screened for liquidity and weighted according to modified free-float market capitalization.",Emerging Markets Equities,Global X,0.68%,,,$6.80 ,0.5," 8,410 ", 1.41 ,Equity,Large-Cap,,Africa,9.09%,0.00%,2.47%,21.24%,17.96%,45.85%,0.00%,2.27%,0.00%,0.00%,0.84%,,,click,click,,,,,,,,,,,,,
NIB,Dow Jones-UBS Cocoa Total Return Sub-Index ETN,2008-06-24,ETN,Dow Jones-UBS Cocoa Subindex Total Return,The Dow Jones-UBS Cocoa Subindex Total Return is a single-commodity sub-index currently consisting of one futures contract on the commodity of cocoa.,Agricultural Commodities,Barclays iPath,0.75%,,,$41.40 ,1.2," 18,069 ", (1.97),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
NINI,Pure Beta Nickel ETN,2011-04-20,ETN,Barclays Capital Nickel Pure Beta TR Index,"The index is comprised of a single exchange traded futures contract, except during the roll period when the Index may be comprised of two futures contracts. However, unlike many commodity indices, which roll their exposure to the corresponding futures contract on a monthly basis in accordance with a pre-determined roll schedule, the Index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Capital Pure Beta Series 2 Methodology.",Metals,Barclays iPath,0.75%,,,$3.20 ,0.1," 7,520 ", 3.13 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
NKY,MAXIS Nikkei 225 Index ETF,2011-07-13,ETF,Nikkei 225 Index,"The index reflects the average price of 225 stocks traded on the first section of the Tokyo Stock Exchange, but it is different from a simple average in that the divisor is adjusted to maintain continuity and reduce the effect of external factors not directly related to the market.",Japan Equities,Precidian,0.50%,$0.21,1.78%,$136.90 ,7.5," 467,536 ", 1.89 ,Equity,Large-Cap,Blend,Developed Asia Pacific,8.45%,8.26%,22.62%,7.25%,0.84%,3.87%,8.73%,19.99%,4.13%,14.22%,0.47%,,,click,click,,,,,,,,,,,,,
NLR,Market Vectors Uranium+Nuclear Energy ETF,2007-08-13,ETF,DAXglobal Nuclear Energy Index,The Index provides exposure to publicly traded companies worldwide that are engaged in various aspects of the nuclear energy business.,Alternative Energy Equities,Van Eck,0.60%,$0.33,0.69%,$77.50 ,1.6," 4,483 ", 1.41 ,Equity,,,Global,33.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,38.11%,0.00%,0.00%,23.90%,,,click,click,,,,,,,,,,,,,
NOBL,S&P 500 Aristocrats ETF,2013-10-09,ETF,S&P 500 Dividend Aristocrats Index,tag not found,Large Cap Value Equities,ProShares,0.35%,,,$61.70 ,1.4,, 1.03 ,Equity,Large-Cap,Value,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
NOMO,U.S. Market Neutral Anti-Momentum Fund,2011-09-07,ETF,Dow Jones U.S. Thematic Market Neutral Anti-Momentum Total Return Index,"The index is equal weighted, dollar neutral and sector neutral. The index rebalances monthly by identifying the lowest momentum stocks as long positions and highest momentum stocks as short positions, of approximately equal dollar amounts, within each sector.",Long-Short,QuantShares,0.81%,$0.47,2.17%,$1.10 ,0.1," 3,483 ", 1.22 ,Alternatives,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
NORW,FTSE Norway 30 ETF,2010-11-10,ETF,FTSE Norway 30 Index,The index is designed to reflect broad based equity market performance in Norway.,Europe Equities,Global X,0.50%,$0.43,2.62%,$84.30 ,5.2," 31,308 ", (1.90),Equity,,,Developed Europe,7.79%,9.75%,3.75%,9.00%,45.79%,16.62%,1.72%,3.09%,0.71%,1.67%,0.00%,,,click,click,,,,,,,,,,,,,
NUCL,S&P Global Nuclear Energy Index Fund,2008-06-24,ETF,S&P Global Nuclear Energy Index,The index measures the performance of companies in nuclear energy related businesses.,Alternative Energy Equities,iShares,0.48%,$0.35,3.11%,$8.50 ,0.2," 4,407 ", 1.50 ,Equity,,,Global,7.22%,0.00%,0.00%,0.00%,4.76%,0.00%,0.00%,16.02%,0.00%,8.34%,60.97%,,,click,click,,,,,,,,,,,,,
NUGT,Daily Gold Miners Bull 3x Shares,2010-12-08,ETF,NYSE Arca Gold Miners Index (300%),"The Index provides exposure to publicly traded companies worldwide involved primarily in the mining for gold, representing a diversified blend of small-, mid- and large- capitalization stocks.",Leveraged Equities,Direxion,0.95%,,,$668.30 ,23.8," 5,320,916 ", (10.55),Equity,,,Global,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
NY,iShares NYSE 100 ETF,2004-03-29,ETF,NYSE U.S. 100 Index,The index measures the performance of the largest 100 companies listed on the NYSE.,Large Cap Value Equities,iShares,0.20%,$0.50,2.10%,$67.60 ,0.8," 2,656 ", 0.89 ,Equity,Mega-Cap,Value,North America,3.08%,4.44%,10.03%,13.17%,14.71%,20.95%,13.55%,12.19%,0.59%,5.23%,1.92%,,,click,click,,,,,,,,,,,,,
NYC,iShares NYSE Composite ETF,2004-03-30,ETF,NYSE Composite Index,The index measures the performance of all common stocks listed on the New York Stock Exchange.,All Cap Equities,iShares,0.25%,$0.53,2.17%,$70.70 ,0.8," 2,316 ", 0.93 ,Equity,Multi-Cap,Blend,North America,5.72%,5.53%,9.94%,9.17%,13.74%,20.44%,11.62%,10.89%,3.38%,5.95%,3.44%,,,click,click,,,,,,,,,,,,,
NYF,iShares New York AMT-Free Muni Bond ETF,2007-10-04,ETF,S&P New York AMT-Free Municipal Bond Index,The index measures the performance of the investment grade segment of the New York municipal bond market.,New York Munis,iShares,0.25%,$0.27,3.01%,$126.10 ,1.2," 9,144 ", (0.31),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
OEF,iShares S&P 100 ETF,2000-10-23,ETF,S&P 100 Index,"The index measures the performance of stocks from a broad range of industries, chosen for market size, liquidity, and industry group representation.",Large Cap Blend Equities,iShares,0.20%,$0.46,1.96%,"$4,239.90 ",51.7," 876,980 ", 0.95 ,Equity,Mega-Cap,Blend,North America,1.88%,4.95%,10.62%,11.19%,11.79%,16.58%,12.46%,9.31%,0.55%,19.58%,0.96%,,,click,click,,,,,,,,,,,,,
OFF,ETRACS Fisher-Gartman Risk Off ETN,2011-11-30,ETN,Fisher-Gartman Risk Index (-100%),"The index consists of a mix of long and short positions in various asset classes whose overall value is expected to rise when the outlook on markets and the broader economy is positive and to decrease when such outlook is negative. The Index is comprised of long positions in &quot;risk on&quot; instruments and short positions in &quot;risk off&quot; instruments in the following sectors: energy, agriculture and metals (through long positions in futures-based commodity indices); equities (through a long position in an index of exchange-traded products); currencies (through long and short positions in currency futures contracts); and domestic and foreign government bonds (through a short position in an index of sovereign bond futures contracts).",Diversified Portfolio,UBS,1.15%,,,$10.90 ,0.6," 4,515 ", (1.31),Multi-Asset,,,,,,,,,,,,,,,,Yes,click,click,,,,,,,,,,,,,
OGEM,Energy GEMS ETF,2009-05-21,ETF,Dow Jones Emerging Markets Oil and Gas Titans Index,"This index is designed to represent 30 of the largest emerging-market companies in the Oil &amp; Gas Industry as defined by the Industry Classification Benchmark(ICB). Within the industry category for Energy, there exist the following sectors: Oil &amp; Gas Producers, Oil Equipment &amp; Services, and Alternative Energy.",Energy Equities,EG Shares,0.85%,$0.57,2.57%,$6.70 ,0.3," 7,995 ", 2.12 ,Equity,,,Emerging Markets,0.00%,0.00%,0.00%,0.00%,96.11%,0.00%,0.00%,2.86%,0.00%,0.00%,1.03%,,,click,click,,,,,,,,,,,,,
OIH,Market Vectors Oil Services ETF,2011-12-20,ETF,Market Vectors US Listed Oil Services 25 Index,"The Index is a rules based index intended to track the overall performance of 25 of the largest U.S. listed, publicly traded oil service companies.",Energy Equities,Van Eck,0.35%,$0.54,1.13%,"$1,515.10 ",31.6," 4,151,249 ", (1.58),Equity,,,North America,4.39%,0.00%,0.00%,0.00%,95.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
OIL,S&P GSCI Crude Oil Tot Ret Idx ETN,2006-08-15,ETN,S&P GSCI Crude Oil Total Return Index,The index reflects the returns that are potentially available through an unleveraged investment in the West Texas Intermediate (WTI) crude oil futures contract plus the Treasury Bill rate of interest that could be earned on funds committed to the trading of the underlying contracts.,Oil &amp; Gas,Barclays iPath,0.75%,,,$271.60 ,11.7," 398,795 ", 1.56 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
OLEM,Pure Beta Crude Oil ETN,2011-04-20,ETN,Barclays Capital WTI Crude Oil Pure Beta TR Index,"The index is comprised of a single exchange traded futures contract, except during the roll period when the Index may be comprised of two futures contracts. However, unlike many commodity indices which roll their exposure to the corresponding futures contract on a monthly basis in accordance with a pre-determined roll schedule, the Index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Capital Pure Beta Series 2 Methodology.",Oil &amp; Gas,Barclays iPath,0.75%,,,$3.30 ,0.1," 1,388 ", (1.88),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
OLO,DB Crude Oil Long ETN,2008-06-16,ETN,Deutsche Bank Liquid Commodity Index-Oil,The index is designed to reflect the performance of certain crude oil futures contracts plus the returns from investing in 3 month United States Treasury Bills.,Oil &amp; Gas,Invesco PowerShares,0.75%,,,$7.60 ,0.6," 3,017 ", 3.81 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ONEF,Russell Equity ETF,2010-05-11,ETF,,This ETF is not linked to a specific benchmark.,Diversified Portfolio,Russell,0.51%,$0.03,2.54%,$10.60 ,0.3," 5,976 ", 1.17 ,Equity,Multi-Cap,,Global,5.90%,4.15%,11.47%,10.99%,8.42%,16.77%,9.86%,11.16%,3.51%,11.85%,4.36%,,,click,click,,,,,,,,,,,,,
ONEQ,Nasdaq Composite Index Tracking Stock,2003-09-25,ETF,NASDAQ Composite Index,The NASDAQ Composite Index measures all NASDAQ domestic and international based common type stocks listed on The Nasdaq Stock Market.,All Cap Equities,Fidelity,0.30%,$0.52,0.84%,$310.40 ,1.9," 14,984 ", 1.15 ,Equity,Multi-Cap,Growth,North America,1.08%,4.98%,15.23%,4.40%,1.07%,6.38%,13.52%,5.94%,0.44%,46.80%,0.08%,,,click,click,,,,,,,,,,,,,
ONG,Pure Beta Energy ETN,2011-04-20,ETN,Barclays Capital Commodity Index Energy Pure Beta TR,"The index is comprised of a basket of exchange traded futures contracts, and uses an allocation methodology designed to mitigate the effects of certain distortions in the commodity markets on such returns. Unlike many commodity indices which roll their exposure to the corresponding futures contract on a monthly basis in accordance with a pre-determined roll schedule, the Index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Capital Pure Beta Series 2 Methodology.",Oil &amp; Gas,Barclays iPath,0.75%,,,$2.50 ,0.1, 100 , (8.60),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ONN,ETRACS Fisher-Gartman Risk On ETN,2011-11-30,ETN,Fisher-Gartman Risk Index,"The index consists of a mix of long and short positions in various asset classes whose overall value is expected to rise when the outlook on markets and the broader economy is positive and to decrease when such outlook is negative. The Index is comprised of long positions in &quot;risk on&quot; instruments and short positions in &quot;risk off&quot; instruments in the following sectors: energy, agriculture and metals (through long positions in futures-based commodity indices); equities (through a long position in an index of exchange-traded products); currencies (through long and short positions in currency futures contracts); and domestic and foreign government bonds (through a short position in an index of sovereign bond futures contracts).",Diversified Portfolio,UBS,0.85%,$0.28,0.93%,$11.90 ,0.4," 11,440 ", 1.19 ,Multi-Asset,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
OOK,Oklahoma Exchange Traded Fund,2009-11-02,,SPADE Oklahoma Index,The SPADE Oklahoma Index is a modified market capitalization weighted index that seeks to measure the performance of publicly-traded companies whose corporate headquarters are located within the State of Oklahoma or who maintain significant operations within the State of Oklahoma.,Large Cap Blend Equities,Geary Advisors,0.20%,,,$0.00 ,0,,,Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
OTP,Ocean Tomo Patent ETF,2006-12-15,ETF,Ocean Tomo 300 Patent Index,"The Index is designed to actively represent a group of securities that own quality patent portfolios. The Index seeks to identify six companies within each of 50 style and size groups (which include value, relative value, blend, growth at a reasonable price (GARP) and growth by decile) with the highest patent value to book value ratio as determined by Ocean Tomo, LLC, the Fund's index provider, using Ocean Tomo's Patent Ratings software.",Large Cap Blend Equities,Guggenheim,0.60%,$0.25,0.89%,$4.10 ,0.2," 16,244 ", 1.24 ,Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
OTR,Ocean Tomo Growth Index ETF,2007-04-02,ETF,Ocean Tomo 300 Patent Growth Index,"The Index is comprised of approximately 60 securities evaluated and selected on the basis of the value of their intellectual property, specifically their patent valuations, using Ocean Tomo's Patent Ratings software from a universe of U.S. listed stocks using a proprietary, 100% rules-based methodology developed by Ocean Tomo, LLC.",Large Cap Growth Equities,Guggenheim,0.60%,$0.15,0.45%,$14.40 ,0.5," 8,908 ", 1.17 ,Equity,Large-Cap,Growth,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PAF,FTSE RAFI Asia Pacific ex-Japan Portfolio,2007-06-25,ETF,FTSE RAFI Developed Asia Pacific ex Japan Index,"The Index is designed to track the performance of the largest equities of companies domiciled in the Asia Pacific region (excluding Japan), selected based on the following four fundamental measures of firm size: book value, income, sales and dividends.",Asia Pacific Equities,Invesco PowerShares,0.49%,$0.65,4.74%,$50.00 ,0.9," 11,145 ", (1.40),Equity,,,Developed Asia Pacific,10.64%,3.67%,8.45%,5.69%,3.74%,31.42%,0.76%,10.31%,9.93%,8.61%,3.24%,,,click,click,,,,,,,,,,,,,
PAGG,Global Agriculture Portfolio,2008-09-18,ETF,NASDAQ OMX Global Agriculture Index,The Index is designed to measure the overall performance of globally traded securities of the largest and most liquid companies involved in agriculture and farming-related activities.,Commodity Producers Equities,Invesco PowerShares,0.75%,$0.11,1.64%,$90.70 ,3.1," 10,163 ", 1.09 ,Equity,,,Global,58.56%,0.00%,0.15%,37.83%,1.31%,0.00%,0.00%,2.35%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
PALL,Physical Palladium Shares,2010-01-08,Grantor Trust,Palladium Bullion,This ETF is designed to track the spot price of Palladium bullion.,Precious Metals,ETF Securities,0.60%,,,$510.20 ,7.4," 70,650 ", (1.67),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PAO,RiverFront Tactical Balanced Growth Portfolio,2008-05-20,ETF,RiverFront Global Tactical Balanced Growth Index,The Index is optimized relative to a growth risk profile targeting approximately 80% equities and 20% taxable fixed income.,Diversified Portfolio,Invesco PowerShares,0.79%,$0.14,2.23%,$12.20 ,1," 12,014 ", 1.63 ,Multi-Asset,,,Global,5.61%,6.11%,7.63%,8.71%,6.18%,13.61%,8.62%,11.01%,2.87%,9.76%,4.04%,,,click,click,,,,,,,,,,,,,
PBD,Global Clean Energy Portfolio,2007-06-13,ETF,WilderHill New Energy Global Innovation index,The Index seeks to deliver capital appreciation and is composed of companies that focus on greener and generally renewable sources of energy and technologies facilitating cleaner energy.,Alternative Energy Equities,Invesco PowerShares,0.75%,$0.04,1.24%,$85.70 ,7.2," 28,817 ", (1.44),Equity,,,Global,7.96%,0.00%,4.16%,1.57%,3.64%,0.00%,0.00%,19.56%,0.00%,40.73%,22.47%,,,click,click,,,,,,,,,,,,,
PBE,Dynamic Biotech &Genome,2005-06-23,ETF,Dynamic Biotechnology & Genome Intellidex Index,"The index is comprised of stocks of U.S. biotechnology and genome companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Health &amp; Biotech Equities,Invesco PowerShares,0.60%,$0.08,1.70%,$289.90 ,7.8," 72,933 ", 2.06 ,Equity,,,North America,4.90%,0.00%,0.00%,0.00%,0.00%,0.00%,89.50%,0.00%,0.00%,5.53%,0.00%,,,click,click,,,,,,,,,,,,,
PBJ,Dynamic Food & Beverage,2005-06-23,ETF,Dynamic Food & Beverage Intellidex Index,"The index is comprised of stocks of U.S. food and beverage companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Consumer Staples Equities,Invesco PowerShares,0.60%,$0.07,1.56%,$229.80 ,8.8," 32,759 ", 1.40 ,Equity,,,North America,4.84%,0.00%,8.22%,86.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
PBP,S&P 500 BuyWrite Portfolio,2007-12-20,ETF,CBOE S&P 500 BuyWrite Index,"The index is designed to measure the total rate of return of a hypothetical &quot;buy-write&quot;, or &quot;covered call&quot;, strategy on the S&amp;P 500 Index. This strategy consists of a hypothetical portfolio consisting of a &quot;long&quot; position indexed to the S&amp;P 500 Index (i.e. purchasing the common stocks included in the S&amp;P 500 Index) and the sale of a succession of one-month, at- or slightly out-of-the-money S&amp;P 500 Index call options that are listed on the Chicago Board Options Exchange.",Long-Short,Invesco PowerShares,0.75%,$0.69,9.11%,$202.80 ,9.7," 60,389 ", 0.47 ,Alternatives,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
